CUST_CODE,BASKET_DOMINANT_MISSION
CUST0000583261,Grocery
CUST0000537317,Fresh
CUST0000472158,Grocery
CUST0000099658,Mixed
CUST0000556927,Fresh
CUST0000099658,Fresh
CUST0000128681,Fresh
CUST0000961918,Fresh
CUST0000961918,Fresh
CUST0000704959,Fresh
CUST0000809769,Fresh
CUST0000135397,Mixed
CUST0000361812,Fresh
CUST0000372422,Fresh
CUST0000871730,Fresh
CUST0000605493,Fresh
CUST0000898638,Mixed
CUST0000986734,Fresh
CUST0000133531,Fresh
CUST0000863429,Fresh
CUST0000661427,Fresh
CUST0000576800,Fresh
CUST0000161411,Fresh
CUST0000402352,Grocery
CUST0000985195,Fresh
CUST0000540040,Mixed
CUST0000467543,Fresh
CUST0000836210,Fresh
CUST0000280656,Fresh
CUST0000068394,Fresh
CUST0000403088,Mixed
CUST0000898638,Fresh
CUST0000410483,Fresh
CUST0000200987,Fresh
CUST0000167190,Fresh
CUST0000107193,Mixed
CUST0000696111,Fresh
CUST0000585617,Fresh
CUST0000603024,Fresh
CUST0000402352,Grocery
CUST0000836210,Fresh
CUST0000743591,Mixed
CUST0000898638,Fresh
CUST0000420363,Mixed
CUST0000127841,Fresh
CUST0000845375,Fresh
CUST0000254358,Fresh
CUST0000638798,Mixed
CUST0000506810,Mixed
CUST0000845375,Fresh
CUST0000851524,Grocery
CUST0000398965,Fresh
CUST0000094339,Fresh
CUST0000099658,Fresh
CUST0000549670,Fresh
CUST0000147574,Fresh
CUST0000192207,Fresh
CUST0000788454,Fresh
CUST0000077225,Fresh
CUST0000923296,Fresh
CUST0000923296,Fresh
CUST0000109773,Fresh
CUST0000820750,Fresh
CUST0000670321,Fresh
CUST0000992085,Fresh
CUST0000109773,Mixed
CUST0000341004,Mixed
CUST0000425522,Fresh
CUST0000948675,Nonfood
CUST0000341004,Fresh
CUST0000147574,Mixed
CUST0000147574,Mixed
CUST0000109773,Fresh
CUST0000147574,Mixed
CUST0000674164,Fresh
CUST0000679573,Mixed
